row,expected_label,expected_label_idx,reason
1,FALSE POSITIVE,2,"prad=0 (imposible) → artifact / FP"
2,FALSE POSITIVE,2,"prad negative (imposible) → FP"
3,CONFIRMED,0,"period>1, prad~0.7, SNR alto → probable confirmado"
4,FALSE POSITIVE,2,"prad negative & period muy pequeño → eliminar/FP"
5,FALSE POSITIVE,2,"prad ~0 (muy bajo) → probable FP"
6,CONFIRMED,0,"prad ~1.18, buen SNR → confirmado probable"
7,FALSE POSITIVE,2,"prad negativo & baja SNR → FP"
8,CANDIDATE,1,"prad pequeño (~0.9) con SNR moderada → candidate"
9,FALSE POSITIVE,2,"prad negativo & corto periodo → FP"
10,CONFIRMED,0,"period moderado, prad ~0.18? (positivo), SNR alto → confirmado"
11,FALSE POSITIVE,2,"prad negativo → FP"
12,CANDIDATE,1,"prad ~0.4, periodo alto → candidate"
13,CANDIDATE,1,"prad ~0.04 (pequeño), SNR moderado → candidate"
14,FALSE POSITIVE,2,"prad ~1.3 pero model_snr negativo (baja confianza) → FP"
15,CANDIDATE,1,"prad ~0.04 positivo, parámetros normales → candidate"
16,FALSE POSITIVE,2,"prad negativo → FP"
17,FALSE POSITIVE,2,"prad negativo & periodo muy corto → FP"
18,CONFIRMED,0,"prad ~0.18-0.25, SNR alto → confirmado posible"
19,FALSE POSITIVE,2,"prad negativo → FP"
20,CANDIDATE,1,"prad pequeño/sano y SNR moderada → candidate"
